run=seed_31415_null_e4_null arm=E4_NULL device=cuda:0 dtype=float64 parameters=361 max_steps=2000
step=20 train_mse=0.187911068846 penalty_total=0.00187216138006 validation_clean_nrmse=1.00341252111 selected=True
step=40 train_mse=0.187188124442 penalty_total=0.00186836806816 validation_clean_nrmse=1.00430509413 selected=False
step=60 train_mse=0.184331240658 penalty_total=0.0018647323207 validation_clean_nrmse=1.00386007316 selected=False
step=80 train_mse=0.1905857856 penalty_total=0.00186564893242 validation_clean_nrmse=1.0019184052 selected=False
step=100 train_mse=0.184921446477 penalty_total=0.00189828992004 validation_clean_nrmse=1.00407159541 selected=False
step=120 train_mse=0.190909657257 penalty_total=0.00190747658172 validation_clean_nrmse=1.00370935562 selected=False
step=140 train_mse=0.186326458245 penalty_total=0.0019297438493 validation_clean_nrmse=1.00553288021 selected=False
step=160 train_mse=0.18870638668 penalty_total=0.00191733119283 validation_clean_nrmse=1.00536898268 selected=False
step=180 train_mse=0.183820271932 penalty_total=0.00197063429138 validation_clean_nrmse=1.00423509772 selected=False
step=200 train_mse=0.188087785694 penalty_total=0.00193279110127 validation_clean_nrmse=1.00377703791 selected=False
step=220 train_mse=0.184282271903 penalty_total=0.00192659623067 validation_clean_nrmse=1.00472743142 selected=False
step=240 train_mse=0.184904041312 penalty_total=0.00193351492482 validation_clean_nrmse=1.00602978814 selected=False
step=260 train_mse=0.183054668962 penalty_total=0.00196482845271 validation_clean_nrmse=1.00171258921 selected=False
step=280 train_mse=0.184530464977 penalty_total=0.00193149888276 validation_clean_nrmse=1.00756396272 selected=False
step=300 train_mse=0.18561291083 penalty_total=0.00191593349438 validation_clean_nrmse=1.00351680574 selected=False
step=320 train_mse=0.190340054525 penalty_total=0.00190293569684 validation_clean_nrmse=1.00481222991 selected=False
step=340 train_mse=0.184510516671 penalty_total=0.00191692371894 validation_clean_nrmse=1.00157850235 selected=False
step=360 train_mse=0.183052144842 penalty_total=0.00188832626076 validation_clean_nrmse=1.00454116776 selected=False
step=380 train_mse=0.182162379633 penalty_total=0.00187162023407 validation_clean_nrmse=1.00602851498 selected=False
step=400 train_mse=0.18526448585 penalty_total=0.00187396060593 validation_clean_nrmse=1.00433956099 selected=False
step=420 train_mse=0.185494240299 penalty_total=0.0018884805576 validation_clean_nrmse=1.00416562612 selected=False
step=440 train_mse=0.181497728104 penalty_total=0.00186722319154 validation_clean_nrmse=1.00726688731 selected=False
step=460 train_mse=0.181720016907 penalty_total=0.00183581302881 validation_clean_nrmse=1.00489412543 selected=False
step=480 train_mse=0.189291921451 penalty_total=0.0018448119641 validation_clean_nrmse=1.00207319024 selected=False
step=500 train_mse=0.186114842387 penalty_total=0.00182075467108 validation_clean_nrmse=1.00847200257 selected=False
step=520 train_mse=0.181791571415 penalty_total=0.00178305187063 validation_clean_nrmse=1.00606596003 selected=False
